TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-16 18:45:23,1771267523638,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[ResellerClub] HTTP 500 Internal Server Error from contacts/search.json Body: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:23,1771267523638,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[ResellerClub] Retrying contacts/search.json after 1000ms (attempt 1/3),prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:25,1771267525386,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[ResellerClub] HTTP 500 Internal Server Error from contacts/search.json Body: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:25,1771267525387,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[ResellerClub] Retrying contacts/search.json after 2000ms (attempt 2/3),prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:27,1771267527882,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[ResellerClub] HTTP 500 Internal Server Error from contacts/search.json Body: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:27,1771267527882,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[ResellerClub] Retrying contacts/search.json after 4000ms (attempt 3/3),prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:32,1771267532601,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[ResellerClub] HTTP 500 Internal Server Error from contacts/search.json Body: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:32,1771267532602,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[Provisioning] Multi-domain provisioning failed: Error [ResellerClubError]: API returned HTTP 500 Internal Server Error: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}
    at E.executeRequest (.next/server/chunks/next-platform-dashboard_4691f7c7._.js:1:8009)
    at async (.next/server/chunks/next-platform-dashboard_4691f7c7._.js:1:6431) {
  code: 'RETRYABLE_ERROR',
  statusCode: 500,
  details: [Object]
}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:32,1771267532788,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[Paddle Webhook] Provisioning failed for domain_register: API returned HTTP 500 Internal Server Error: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:45:32,1771267532962,app.dramacagency.com/api/webhooks/paddle,POST,,200,krkqb-1771267521629-f321e9c01b16,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[Paddle Webhook] Successfully processed: transaction.completed,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
